State |City|MSA|Transit Score|||||||
Alabama |Birmingham|13820|25|||||||
Alaska|Anchorage|11260|21||||||| 
Alberta, Canada|Calgary||43|||||||
Alberta, Canada|Edmonton||44|||||||
Arizona |Greater Phoenix|38060|36|||||||
British Columbia, Canda|Vancouver||74|||||||
California|Cal Poly Pomona-Fairplex-Pomona|11244|35|||||||
California|Concord-Freemont-Oakland-Richmond-San Francisco|36084|80|||||||
California|Fresno|23420|31|||||||
California|Irvine|11244|27|||||||
California|Long Beach-Huntington Beach|11244|51|||||||
California|Los Angeles|11244|51|||||||
California|Sacramento|40900|34|||||||
California|San Diego-Chula Vista|41740|37|||||||
California|San Jose|41940|41|||||||
Chihuahua, Mexico||||||||||
Colorado|Denver|19740|48|||||||
Connecticut|Bridgeport-New Haven|71950|60|||||||
Connecticut|Danbury|72850|38|||||||
Connecticut|Greater Stamford|71950|38|||||||
Connecticut|Greater Hartford|73450|54|||||||
Connecticut|Waterbury|78700|48|||||||
Delaware|Fairfax|72400|50|||||||
Delaware|Wilmington|48864|51|||||||
Florida|Manatee-Sarasota|35840||||||||
Florida|Orlando|36740|33|||||||
Florida|South Florida (Miami-Dade, Broward, Palm Beach)|33124|57|||||||
Florida|Tampa-St. Petersburg|45300|32|||||||
Georgia|Metro Atlanta|12060|46|||||||
Georgia|Stonecrest|12060||||||||
||||||||||
Hidalgo, Mexico||||||||||
Idaho||||||||||
Illinois|Chicago|16974|65|||||||
Indiana|Gary-Hammond|23844|49|||||||
Indiana|Indianapolis-Fishers|26900|23|||||||
Iowa|Greater Des Moines|19780|29|||||||
Kansas|Kansas City|28140|22|||||||
Kentucky|Louisville|31140|28|||||||
Louisiana||||||||||
Maine|Brunswick|||||||||
Maine|Scarborough|||||||||
Manitoba, Canada|Winnipeg||50|||||||
Maryland|Baltimore|12580|57|||||||
Maryland|Charles County|47894||||||||
Maryland|Montgomery County|43524|16|||||||
Maryland|Prince George&rsquo;s County| |30|||||||
Massachusetts|Boston|14460|73|||||||
Massachusetts|Everett|78100|38|||||||
Massachusetts|Fall River|39300|33|||||||
Massachusetts|Foxborough|71654|34|||||||
Massachusetts|Gardner|74500|39|||||||
Massachusetts|Holyoke|78100|55|||||||
Massachusetts|Lawrence-Haverhill-Andover-Methuen-North Andover|74204|36|||||||
Massachusetts|Lee|||||||||
Massachusetts|Leominster|74500|38|||||||
Massachusetts|Lowell-Billerica-Tewksbury|74804|37|||||||
Massachusetts|Lynn||40|||||||
Massachusetts|Marlborough|73104|41|||||||
Massachusetts|New Bedford|75550|33|||||||
Massachusetts|Northborough|79600||||||||
||||||||||
Massachusetts|Peabody|76524|43|||||||
Massachusetts|Pittsfield|76600|38|||||||
Massachusetts|Quincy|71654|51|||||||
Massachusetts|Somerville|73654|63|||||||
Massachusetts|Springfield|78100|40|||||||
Massachusetts|Taunton|78254|29|||||||
Massachusetts|Union Point-Abington-Rockland-Weymouth|71654|28|||||||
Massachusetts|Waltham|71654|33|||||||
Massachusetts|Westborough|79600||||||||
Massachusetts|Worcester|79600|35|||||||
Michigan|Detroit-Windsor (Canada and Michigan)||38|||||||
Michigan|Grand Rapids|34340|39|||||||
Minnesota|Minneapolis-Saint Paul|33460|58|||||||
Mississippi||||||||||
Missouri|Kansas City|28140|29|||||||
Missouri|St. Louis|41180|45|||||||
Missouri||||||||||
Nebraska|Omaha|36540|40|||||||
Nevada|Las Vegas|29820|34|||||||
New Hampshire|Londonderry|75404||||||||
New Hampshire|Manchester|74950|48|||||||
New Jersey|Atlantic City|12100|48|||||||
New Jersey|Bayonne||79|||||||
New Jersey|Camden County|15804|47|||||||
New Jersey|Jersey City|35614|71|||||||
New Jersey|New Brunswick|||||||||
New Jersey|Newark|35084|65|||||||
New Jersey|Trenton|45940|45|||||||
New Jersey|West Windsor-Mercer County|||||||||
New Mexico|El Paso-Borderplex Alliance|||||||||
New Mexico|Santa Teresa-San Jeronimo|||||||||
||||||||||
New York|Albany|10580|54|||||||
New York|Buffalo-Rochester|40380|43|||||||
New York|Mount Vernon|35620|55|||||||
New York|New Rochelle|35620|43|||||||
New York|New York City-Long Island-Hudson Valley|35620|85|||||||
New York|Syracuse-Utica|45060|44|||||||
New York|Westchester|35614|44|||||||
North Carolina|Charlotte-York County|16740|27|||||||
North Carolina|Greensboro|24660|30|||||||
North Carolina|Hickory|25860|30|||||||
North Carolina|Raleigh|39580|29|||||||
Nova Scotia, Canada||||||||||
Ohio|Cincinnati-Dayton|19380|44|||||||
Ohio|Cleveland|17460|47|||||||
Ohio|Columbus|18140|31|||||||
Ohio|Toledo-Maumee|45780||||||||
Oklahoma|Oklahoma City|36420|16|||||||
Oklahoma|Tulsa|46140|23|||||||
Ontario, Canada|Detroit-Windsor||49|||||||
Ontario, Canada|Hamilton||50|||||||
Ontario, Canada|Ottawa-Gatineau||49|||||||
Ontario, Canada|Sault Ste. Marie (Canada and Michigan)|||||||||
Ontario, Canada|Simcoe County|||||||||
Ontario, Canada|Toronto||78|||||||
Oregon|Portland|38900|51|||||||
Pennsylvania|Delaware County|34620||||||||
Pennsylvania|Harrisburg|25420||||||||
Pennsylvania|Lehigh Valley|10900||||||||
Pennsylvania|Philadelphia|37964|67|||||||
Pennsylvania|Pittsburgh|38300|54|||||||
Pennsylvania|Northeast Pennsylvania||39|||||||
||||||||||
Puerto Rico||||||||||
Quebec, Canada|Greater Montreal||77|||||||
Mexico|Quer&eacute;taro|||||||||
Rhode Island|East Providence|77200|30|||||||
Rhode Island|North Kingstown|77200||||||||
Rhode Island|Pawtucket-Central Falls|77200|65|||||||
Rhode Island|Providence|77200|47|||||||
Rhode Island|Richmond|77200|50|||||||
Rhode Island|Warwick|77200|26|||||||
Rhode Island|Woonsocket|77200|50|||||||
South Carolina|Greenville-Spartanburg|24860|40|||||||
Tennessee|Knoxville|28940|31|||||||
Tennessee|Memphis|32820|37|||||||
Tennessee|Nashville|34980|24|||||||
Texas|Austin|12420|34|||||||
Texas|Dallas-Fort Worth|19124|40|||||||
Texas|Frisco||20|||||||
Texas|Houston|26420|37|||||||
Texas|Milam County|||||||||
Utah||||||||||
Virginia|Alexandria-Arlington-Loudoun-Fairfax (Northern Virginia)|47894|54|||||||
Virginia|Great Richmond|40060|50|||||||
Virginia|Hampton Roads|47260|27|||||||
Virginia|Northern Virginia|||||||||
Washington|Pudget Sound Region|||||||||
Washington|Tacoma-Pierce County|42660|50|||||||
Washington, DC||47894|68|||||||
Wisconsin|Madison|31540|38|||||||
Wisconsin|Milwaukee|33340|49|||||||
||||||||||
||||||||||
||||||||||
