state,city,is_top_twenty_x,InfrastructureRank,Growth and Economy,Prosperity,Human Capital,Average Commute Time,diversity_rank,college_score,QoL,Seattle,New York,San Francisco,Washington DC,Travel Time,Hours Spent in Congestion,PEAK,Daytime,Transit Score,Road Length [Miles],Highway Length [Miles],Technology and Innovation,Business Friendliness,Total Graduates,StateTax,LocalSalesTax
Alabama,Birmingham – Alabama,FALSE,170,62,31,41,20.9445,395,164,172.01,1,0,1,0,30,48,19,7,35,7892,200,38,26,870,4,6
Alaska,Anchorage – Alaska,FALSE,140,70,100,90,18.7717,120,0,180.33,4,9,1,0,17,48,19,7,35,1000,50,39,75,462,0,0
Arizona,Greater Phoenix – Arizona,FALSE,140,70,100,90,23.5146,55,160,159.57,1,1,1,1,20,48,19,7,35,34994,484,45,108,1504,5.6,3
California,Fresno – California,FALSE,140,70,100,90,20.6952,58,0,141.41,1,0,1,0,16,9,5,4,31,4537,21,40,45,320,7.25,0.73
California,Los Angeles – California,TRUE,87,50,15,34,28.3332,20,776,148.77,7,5,8,7,35,102,21,11,51,42720,1192,55,33,7211,7.25,2
California,San Diego – California,FALSE,35,35,55,90,26.4087,17,281,199.98,5,3,5,1,9,48,19,7,37,15547,537,48,67,4681,7.25,0.5
California,Sacramento – California,FALSE,82,33,22,45,23.4481,18,170,193.82,3,1,2,1,20,25,11,6,34,13842,171,44,114,745,7.25,1
California,Irvine – California,FALSE,148,7,7,27,22.7335,45,894,209.91,3,1,4,0,10,25,11,6,27,700,20,36,103,1892,7.25,0.5
California,San Francisco – California,FALSE,29,5,14,28,31.1874,7,470,168,1,0,1,0,21,79,21,10,80,7845,258,56,72,2047,7.25,1
California,San Jose – California,FALSE,123,3,1,56,26.3931,8,571,180.35,3,2,1,0,10,48,19,7,41,11947,356,56,70,2848,7.25,1.5
California,Pomona-Fairplex – California,FALSE,146,70,100,90,28.9182,70,894,180,1,0,1,0,11,48,19,7,35,309.06,14175,36,200,1769,7.25,1
California,Long Beach – California,FALSE,137,70,100,90,26.4883,24,776,176.98,1,1,1,0,13,48,19,7,51,753.76,20,36,62,700,7.25,3
Colorado,Denver – Colorado,TRUE,85,6,17,66,23.1911,84,407,170.9,7,5,5,5,38,36,13,7,48,19754,440,47,28,2218,2.9,4.75
Connecticut,New Haven – Connecticut,FALSE,60,87,81,61,26.5509,15,568,184.31,0,1,0,1,14,22,13,8,60,2476,78,47,182,879,6.35,0
Connecticut,Danbury – Connecticut,FALSE,90,87,81,70,25.2778,40,568,183.78,0,0,0,0,10,22,13,5,38,2000,120,47,182,165,6.35,0
Connecticut,Greater Hartford – Connecticut,FALSE,36,87,81,70,21.9674,32,444,158.64,0,1,1,5,18,19,9,5,54,3984,170,41,182,259,6.35,0
Connecticut,Greater Stamford – Connecticut,FALSE,90,87,81,70,25.3608,23,947,137.89,0,1,0,1,30,41,23,12,38,2100,80,47,182,1051,6.35,0
Connecticut,Waterbury – Connecticut,FALSE,90,87,81,70,23.7125,46,435,183.78,0,1,1,5,51,24,14,8,48,2500,100,47,182,246,6.35,0
Delaware,Wilmington – Connecticut,FALSE,113,100,100,100,20.7861,193,627,109.69,2,5,4,3,30,20,10,6,51,6427,424,38,172,0,,
Florida,Miami – Florida,TRUE,14,30,45,30,26.125,179,139,149.49,1,7,2,4,18,64,13,7,57,33658,597,50,35,939,6,1
Florida,Tampa-St. Petersburg – Florida,FALSE,51,23,70,36,21.4774,60,90,192.84,1,6,1,5,14,28,13,5,32,7539,200,43,23,2470,6,1
Florida,Orlando – Florida,FALSE,59,11,65,5,24.0541,26,118,176.25,2,6,3,7,29,34,11,6,33,13966,286,45,19,2739,6,0.5
Georgia,Atlanta – Georgia,TRUE,80,32,60,21,23.5657,194,196,171.29,3,7,3,7,23,70,17,9,46,30951,546,51,38,4012,4,4.9
Georgia,Stonecrest – Georgia,FALSE,100,90,90,90,30.7,200,0,170,3,7,3,7,30,70,17,9,46,2000,100,57,169,1332,4,4.9
Illinois,Chicago – Illinois,TRUE,44,57,16,68,32.6401,39,447,160.99,5,9,4,6,39,57,17,9,65,23764,7852,51,112,11412,6.25,4
Indiana,Indianapolis – Indiana,TRUE,111,65,85,72,26.4613,203,101,162.74,2,5,3,2,23,17,8,4,23,10649,270,43,87,9369,7,0
Indiana,Gary Hammond – Indiana,FALSE,149,80,90,90,24.8054,411,447,161.24,1,0,1,0,17,14,9,6,49,2000,100,60,158,236,7,0
Iowa,Greater Des Moines – Iowa,FALSE,61,59,76,93,18.3996,222,160,198.11,0,1,1,1,15,8,5,3,29,2000,100,41,120,195,6,0
Kansas,Kansas City – Kansas,FALSE,94,58,86,3,20.8957,62,122,188.21,1,0,2,0,25,17,8,4,22,16741,577,43,32,43,6.5,1
Kentucky,Louisville – Kentucky,FALSE,121,46,41,70,21.65,309,75,174.47,1,6,2,4,85,19,10,6,28,8609,264,42,66,1379,6,0
Maine,Brunswick – Maine,FALSE,122,50,49,80,16.2664,310,0,180,0,4,0,2,34,19,10,6,28,1000,50,75,186,80,5.5,0
Maine,Scarborough – Maine,FALSE,123,51,50,81,17.7168,311,0,180,0,4,0,2,12,19,10,6,28,1000,50,75,186,57,5.5,0
Maryland,Baltimore – Maryland,FALSE,90,34,53,71,29.5678,269,655,158.32,3,2,3,0,19,27,11,6,57,11473,452,45,123,1692,6,0
Maryland,Charles County – Maryland,FALSE,100,90,90,90,42.6,309,559,180,3,2,3,0,77,27,11,6,20,2000,50,38,183,311,6,0
Maryland,Montgomery County- Maryland,TRUE,100,90,90,90,34.5,87,745,231.79,3,2,3,0,46,27,11,6,16,5200,100,45,183,583,6,0
Massachusetts,Springfield – Massachusetts,FALSE,75,84,37,37,21.0519,52,417,169.41,3,7,5,5,88,14,8,6,40,2000,50,39,170,597,6.25,0
Massachusetts,Worcester – Massachusetts,FALSE,83,53,46,52,22.8034,77,1472,163.87,0,1,0,0,15,14,8,5,35,3146,82,35,55,1077,6.25,0
Massachusetts,Boston – Massachusetts,TRUE,25,49,26,67,28.9757,19,1257,177.79,3,7,5,5,14,60,23,12,73,34433,874,56,27,5334,6.25,0
Massachusetts,Everett – Massachusetts,FALSE,83,84,46,67,31.7969,19,1194,177.79,3,7,5,5,15,31,21,7,38,200,50,35,170,396,6.25,0
Massachusetts,Fall River – Massachusetts,FALSE,83,84,46,67,23.0507,234,1133,100,3,7,5,5,50,6,3,2,33,200,50,35,170,158,6.25,0
Massachusetts,Foxborough – Massachusetts,FALSE,83,84,46,67,26.8522,13,1347,177.08,3,7,5,5,44,31,21,7,34,201,50,35,170,626,6.25,0
