|state|city|is_top_twenty|Average Commute Time|diversity_rank|colleges|QoL|Seattle|New York|San Francisco|Washington DC|Travel Time|2017 All Cities Rank|Hours Spent in Congestion|ICI|PEAK|Daytime|Overall|Transit Score|Road Length [Miles]|Highway Length [Miles]|OVERALL|Workforce|Infra-structure|Cost of Doing Business|Economy|Quality of Life|Technology and Innovation|Education|Business Friendliness|Access to Capital|Cost of Living
0|Alabama|Birmingham|False|20.9445|395.0|118.0|172.01|||||||||||||||37.0|36.0|18.0|7.0|26.0|50.0|31.0|47.0|33.0|29.0|12.0
1|Alaska|Anchorage|False|18.7717|120.0||180.33|4.0|9.0|1.0|0.0|17.0|||||||21.0|15528.0|2230.0|47.0|25.0|35.0|42.0|48.0|22.0|41.0|42.0|20.0|49.0|46.0
2|Alberta, Canada|Calgary|False|0.0|||188.5|||||24.0|||||||43.0|||||||||||||
3|Alberta, Canada|Edmonton|False|0.0|||177.26|||||35.0|||||||44.0|||||||||||||
4|Arizona|Greater Phoenix|False|23.5146|55.0|40.0|159.57|||||||||||||||26.0|7.0|14.0|37.0|19.0|31.0|24.0|49.0|14.0|18.0|25.0
5|British Columbia, Canada|Vancouver|False|0.0|||169.59|||||||||||||||||||||||||
6|California|Cal Poly Pomona-Fairplex-Pomona|False|28.9182||33.8||||||11.0|||||||35.0|180800.0|14175.0|28.0|10.0|22.0|49.0|22.0|21.0|2.0|28.0|50.0|1.0|48.0
7|California|Concord-Freemont-Oakland-Richmond-San Francisco|False|31.1874|7.0|11.66||||||21.0|5.0|79.0|13.7|21.0|10.0|12.0|80.0|180800.0|14175.0|28.0|10.0|22.0|49.0|22.0|21.0|2.0|28.0|50.0|1.0|48.0
8|California|Fresno|False|20.6952|58.0||141.41|1.0|0.0|1.0|0.0|16.0|1049.0|9.0|1.8|5.0|4.0|4.0|31.0|180800.0|14175.0|28.0|10.0|22.0|49.0|22.0|21.0|2.0|28.0|50.0|1.0|48.0
9|California|Irvine|False|22.7335||51.0|209.91|3.0|1.0|4.0|0.0|10.0|||||||27.0|180800.0|14175.0|28.0|10.0|22.0|49.0|22.0|21.0|2.0|28.0|50.0|1.0|48.0
10|California|Long Beach-Huntington Beach|False|26.4883|24.0|33.8|176.98|1.0|1.0|1.0|0.0|13.0|||||||51.0|180800.0|14175.0|28.0|10.0|22.0|49.0|22.0|21.0|2.0|28.0|50.0|1.0|48.0
11|California|Los Angeles|True|28.3332|20.0|44.8|148.77|7.0|5.0|8.0|7.0|35.0|1.0|102.0|18.3|21.0|11.0|12.0|51.0|180800.0|14175.0|28.0|10.0|22.0|49.0|22.0|21.0|2.0|28.0|50.0|1.0|48.0
12|California|Sacramento|False|23.4481|18.0|30.0|193.82|3.0|1.0|2.0|1.0|20.0|303.0|25.0|4.4|11.0|6.0|7.0|34.0|180800.0|14175.0|28.0|10.0|22.0|49.0|22.0|21.0|2.0|28.0|50.0|1.0|48.0
13|California|San Diego-Chula Vista|False|26.4087|17.0|59.25|199.98|5.0|3.0|5.0|1.0|9.0|45.0|48.0|7.7|19.0|7.0|10.0|37.0|180800.0|14175.0|28.0|10.0|22.0|49.0|22.0|21.0|2.0|28.0|50.0|1.0|48.0
